PROPAUDIT	CONSAUDIT	Proposed 2014	Considered 2015	1n submitted	2nd n submitted	unr?	2ndN	Adopt	EMERGEXP	ANALYST	Agency	Title	Part	Year	Page	Type	1stNPubl (E/P/R Adopted)	"Year1stNProp (P,E,R,X)"	1stNExp	2ndNFiled	2ndNExp	JCAR Overall Action	"Adopted (AdoptPubl if E, R or P)"	Adoption Page	Check	EXP	First Mtg Considered	Tab	JCAR Response: 1st meeting	2nd Mtg Considered	Tab: 2	JCAR Response: 2nd meeting	3rd Mtg Considered	Tab: 3	JCAR Response: 3rd Mtg	4th Mtg Considered	Tab: 4	JCAR Response: 4th Mtg	JCAR Action: Overall	Date of JCAR Action	Agency Monitoring	Active monitoring needed?	Rollcall Yes	Rollcall No	Rollcall Present	AR Deadline	"Agency Response (A,WD,D,NR)"	AR Date	AR Mtg	AR Tab	DTAR/NFA	FTR	NFA	SWM	WP/WS	Outcome	General	Emergency	Peremptory	Exempt	Required	Proposed	0	PA Addressed	PA Addressed 2	PA Addressed 3	PA Addressed 4	PA Addressed 5		APPROP	FTR	NFA	SWM	WS	CORRESP PROP	Year Considered	Year Action Taken	AR YEAR	AR MTG YEAR	#VALUE!	COVID-19	PROPOSEDAUDIT	CONSIDEREDAUDIT	AUDITSTART	AUDITFINISH	DCFS	HFS	DNR	CMS	IEMA	DOT	IHDA	JCE	Check2	Yearcheck	PageDB	PageTest	TypeDB	TypeShortDB	TypeTest	AgencyDB	AgencyTest	TitleDB	PartDB	TitleTest	PartTest	RegDateDB	RegDateTest	From1stNtoAdopt
NA	NA	na	E				#REF!	#REF!	#REF!		HFS	89	148	3	300580	E	1/10/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	6/8/03													NA							NA																														NA	NA	NA	NA	0		0	0				#REF!							FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	690	3	300592	E	1/10/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	6/8/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	G				#REF!	#REF!	#REF!		SBEL	26	207	3	300705	G	1/17/03	2003	3/3/03		NA	NA			FALSE	1/16/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		EPA	35	355	3	300713	G	1/17/03	2003	3/3/03		NA	NA			FALSE	1/16/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	E				#REF!	#REF!	#REF!		HFS	89	148	3	300866	E	1/17/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	6/15/03													NA							NA																														NA	NA	NA	NA	0		0	0				#REF!							FALSE	2003														
NA	NA	na	G				#REF!	#REF!	#REF!		DFPR	68	1450	3	300938	G	1/24/03	2003	3/10/03		NA	NA			FALSE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DCFS	89	408	3	301007	G	1/24/03	2003	3/10/03		NA	NA			FALSE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0			#REF!								FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DCFS	89	431	3	301062	G	1/24/03	2003	3/10/03		NA	NA	12/31/2003	400317	TRUE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0			#REF!								FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DHS	89	508	3	301079	G	1/24/03	2003	3/10/03		NA	NA	12/31/2003	401122	TRUE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	1530	3	301090	G	1/24/03	2003	3/10/03		NA	NA			FALSE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	1535	3	301099	G	1/24/03	2003	3/10/03		NA	NA			FALSE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DFPR	68	1240	3	301112	G	1/24/03	2003	3/10/03		NA	NA			FALSE	1/23/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	E				#REF!	#REF!	#REF!		DFPR	68	1240	3	301308	E	1/24/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	6/22/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		IRB	11	207	3	301325	E	1/24/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	6/22/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	G				#REF!	#REF!	#REF!		CMS	80	303	3	301450	G	1/31/03	2003	3/17/03		NA	NA			FALSE	1/30/04													NA							NA																														NA	NA	NA	NA	0		0	0						#REF!					FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		CMS	80	332	3	301455	G	1/31/03	2003	3/17/03		NA	NA			FALSE	1/30/04													NA							NA																														NA	NA	NA	NA	0		0	0						#REF!					FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ICC	83	757	3	301460	G	1/31/03	2003	3/17/03		NA	NA	1/1/2004	400346	TRUE	1/30/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DHS	77	2061	3	301467	G	1/31/03	2003	3/17/03		NA	NA			FALSE	1/30/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DPH	77	615	3	301498	G	1/31/03	2003	3/17/03		NA	NA			FALSE	1/30/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	R				#REF!	#REF!	#REF!		EIU	2	6000	3	301504	R	1/31/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	1/30/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	#VALUE!														
NA	NA	na	G				#REF!	#REF!	#REF!		TRC	80	3000	3	301798	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DCFS	89	302	3	301804	G	2/7/03	2003	3/24/03		NA	NA	2/1/2004	402155	TRUE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0			#REF!								FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		SBE	23	228	3	301851	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		SBEL	26	202	3	301859	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DHS	89	117	3	301862	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	110	3	301867	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	3700	3	301872	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	3704	3	301876	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
